"country","HeartDiseaseRates_ASR_DALYsPer100k_2021","HeartDiseaseRates_ASR_DeathsPer100k_2021","HeartDiseaseRates_ASR_PrevalencePer100k_2021","HeartDiseaseRates_AllAgesTotalDALYs_2021","HeartDiseaseRates_AllAgesTotalDeaths_2021","HeartDiseaseRates_AllAgesTotalPrevelence_2021","HeartDiseaseRates_AllAges_DALYsPer100k_2021","HeartDiseaseRates_AllAges_DeathsPer100k_2021","HeartDiseaseRates_AllAges_PrevalencePer100k_2021"
"India",6016.9,279.2,7372.2,74200000,3030000,90900000,5204,211.9,6359.7
"China",4980.8,290.1,6622.9,101000000,5560000,136000000,7124.2,391.9,9580
"United States",3086.9,150.8,7810.8,16900000,933000,42400000,5120.5,282.9,12840.8
"Indonesia",8273.2,412.2,6082.1,18700000,750000,13800000,7094.1,283.9,5209.8
"Pakistan",7615.8,350.9,8534.8,9900000,348000,11200000,4229.7,148.5,4770.6
"Nigeria",5666.3,287.8,7976.1,5690000,216000,9530000,2488.1,94.4,4158.6
"Brazil",3568.9,162.2,6905.6,8900000,395000,17100000,4035.5,178.7,7712.9
"Bangladesh",6162.7,306.8,7417.9,8740000,390000,10800000,5380.3,239,6604.4
"Russia",7979.6,403.3,8677.3,18700000,991000,20800000,12711.6,667.5,14014.7
"Ethiopia",4055.6,195.4,6741.6,1970000,73000,4250000,1743.5,64.5,3757.3
"Mexico",3285.5,174.4,6542.5,4030000,198000,8210000,3163.3,155.5,6439.3
"Japan",1607.3,75.6,5058.7,5640000,387000,16400000,4437.6,303,12866.7
"Egypt",10472.1,509.8,10691.3,7180000,275000,7630000,6998.2,267.7,7428.5
"Philippines",7056.5,332.4,5683.4,6060000,234000,4900000,5232.9,202,4224.2
"DR Congo",7134.5,356.6,7521.4,2760000,105000,3870000,2988.9,113.7,4183.2
"Vietnam",5936.3,317.2,5477.8,5670000,265000,5350000,5793.8,269.6,5442.3
"Iran",5108.4,280.2,10337.8,3890000,190000,8310000,4525.2,219,9579.2
"Turkey",4407.6,249,8688,3980000,216000,8120000,4826.6,260.8,9809.4
"Germany",2486.3,141.7,7206.4,5030000,339000,13000000,5858.7,392.7,15035.5
"Thailand",2895.5,124.9,5725.4,3000000,133000,5920000,4249.7,188.2,8356.9
"United Kingdom",2171.1,118.1,6150,2760000,173000,7420000,4064.5,254.5,10891.5
"Tanzania",5661.5,280.5,7825.2,1560000,60800,2680000,2616.4,101.6,4480.7
"France",1752.4,83.5,9315.7,2580000,167000,11800000,3867.1,249.5,17702.3
"South Africa",5162.2,268.2,8516.8,2380000,106000,4220000,4187.6,185.8,7414.7
"Italy",1886,115,6769.4,3000000,230000,9140000,4987.4,381.1,15165.4
"Kenya",4668,237,7094.8,1130000,42800,2220000,2151.7,81,4193.5
"Myanmar",7562,370.2,5929.6,3660000,154000,2920000,6585.9,277.1,5244.6
"Colombia",2660.8,133.3,6457.4,1510000,80300,3620000,3097.3,164.6,7411.5
"South Korea",1634,89.6,5077,1500000,81500,4710000,2764.3,149.1,8618.5
"Sudan",9323.7,465.9,10255.4,2010000,78400,2320000,4719.8,183.4,5420.7
"Uganda",4838,232.1,6991.9,827000,28900,1540000,1910.3,66.6,3560.2
"Spain",1826.9,98.4,6270.5,1870000,127000,5800000,4100.9,276.8,12641.9
"Algeria",5770.5,339.5,10202.8,1960000,92400,3800000,4537,213.4,8772.8
"Iraq",8829,475,10650.7,2150000,92200,2910000,4923.5,210.1,6627.1
"Argentina",3412.4,172.8,7470.2,1880000,98400,4030000,4083.2,213.8,8757.2
